target_index,lead,time_index,truth,q05,q50,q95
13,4,499,0.044160597026348114,-0.81764155626297,0.09112256020307541,0.9410138726234436
13,5,500,0.005186699330806732,-0.8279882669448853,0.10683175921440125,0.9308812618255615
14,1,496,-1.0902222394943237,-2.0931339263916016,-1.237080693244934,-0.2534945011138916
14,2,497,-1.203801155090332,-2.0364303588867188,-1.136073350906372,-0.2301732897758484
14,3,498,-0.4751453995704651,-1.9138100147247314,-1.0069888830184937,-0.10822194814682007
14,4,499,-0.5605664253234863,-1.8740837574005127,-0.8677011728286743,-0.06420528888702393
14,5,500,-0.34483930468559265,-1.8960058689117432,-0.9604747295379639,-0.11070603132247925
15,1,496,0.37692970037460327,-0.5079266428947449,0.28620344400405884,1.1644967794418335
15,2,497,0.8658748269081116,-0.6151376962661743,0.23085276782512665,1.0653207302093506
15,3,498,0.9942925572395325,-0.5829542875289917,0.23186658322811127,1.069995641708374
15,4,499,0.45602360367774963,-0.6435519456863403,0.2599364221096039,1.090301752090454
15,5,500,0.7434216737747192,-0.6097189784049988,0.24688906967639923,1.1247293949127197
16,1,496,0.4581567049026489,-0.5722341537475586,0.26238390803337097,1.0749452114105225
16,2,497,0.8772748708724976,-0.5358136892318726,0.2719765305519104,1.0558855533599854
16,3,498,0.09221360087394714,-0.5051079988479614,0.3736022710800171,1.16943359375
16,4,499,-0.09569640457630157,-0.4261339604854584,0.4047943651676178,1.237009882926941
16,5,500,-0.3612203001976013,-0.4440835416316986,0.4675918519496918,1.189334750175476
17,1,496,0.6458536982536316,-1.1960148811340332,-0.2813124656677246,0.5648680925369263
17,2,497,0.4658878445625305,-1.2056770324707031,-0.2327101081609726,0.6271906495094299
17,3,498,0.03824460133910179,-0.9764863848686218,0.007640264928340912,0.769523561000824
17,4,499,-0.1723293960094452,-0.944171130657196,0.027122242376208305,0.7289915680885315
17,5,500,0.030932694673538208,-0.8461863994598389,0.03930006921291351,0.7283411622047424
18,1,496,-0.3482202887535095,-0.561041533946991,0.23736786842346191,1.0969624519348145
18,2,497,0.21363283693790436,-0.6987340450286865,0.15975895524024963,1.0398362874984741
18,3,498,0.2615526020526886,-0.7160061597824097,0.19394782185554504,1.0038994550704956
18,4,499,-0.14390040934085846,-0.7555629014968872,0.16734455525875092,1.0041035413742065
18,5,500,0.49481669068336487,-0.7820020318031311,0.17324750125408173,1.0955607891082764
19,1,496,-0.4195302724838257,-1.0445926189422607,-0.17239512503147125,0.6171767711639404
19,2,497,-0.7141981720924377,-1.0788962841033936,-0.22294098138809204,0.5916250348091125
19,3,498,-0.6438934206962585,-1.1252412796020508,-0.2986605763435364,0.5482459664344788
19,4,499,-0.7763224244117737,-1.178011417388916,-0.3344784677028656,0.5195966958999634
19,5,500,-0.4491312801837921,-1.223918080329895,-0.34201350808143616,0.7088768482208252
20,1,496,0.5568687319755554,-0.4773898422718048,0.3069831430912018,1.2112253904342651
20,2,497,0.26640182733535767,-0.42647087574005127,0.36834901571273804,1.2795919179916382
20,3,498,0.6440696120262146,-0.39822545647621155,0.3321751058101654,1.1326645612716675
20,4,499,0.4341796040534973,-0.48038044571876526,0.2999211251735687,1.1377569437026978
20,5,500,0.019214697182178497,-0.624819815158844,0.2622867822647095,1.0840504169464111
21,1,496,-0.5623652935028076,-0.7793436646461487,0.05060723051428795,0.9281540513038635
21,2,497,-0.01810915768146515,-0.7987715601921082,0.09351485967636108,0.98096764087677
21,3,498,-0.076870396733284,-0.6591805219650269,0.07719041407108307,0.9707565307617188
21,4,499,-0.4726123809814453,-0.6405403017997742,0.0969085618853569,0.9425231218338013
21,5,500,-0.8135873079299927,-0.6693156957626343,0.0783984586596489,0.9539114236831665
22,1,496,-1.122042179107666,-2.013188123703003,-0.8255018591880798,-0.04748028516769409
22,2,497,-0.8793201446533203,-1.9438735246658325,-0.8016672134399414,-0.0008180141448974609
22,3,498,-0.2572264075279236,-1.9782135486602783,-0.7771869897842407,-0.0972641110420227
22,4,499,-0.5168384313583374,-1.9253337383270264,-0.7673438787460327,-0.10003995895385742
22,5,500,-0.4059012830257416,-1.8006587028503418,-0.6400967836380005,-0.01626664400100708
23,1,496,-0.28438329696655273,-1.2931150197982788,-0.35349199175834656,0.4287826120853424
23,2,497,0.4461328387260437,-1.2871146202087402,-0.4599008560180664,0.3697904944419861
23,3,498,0.3229445815086365,-1.3550941944122314,-0.5411610007286072,0.2955324649810791
23,4,499,0.34593459963798523,-1.488386869430542,-0.645713210105896,0.20027047395706177
23,5,500,0.2846056818962097,-1.5625172853469849,-0.7109724879264832,0.20361942052841187
24,1,496,-1.4106552600860596,-2.385087013244629,-1.421406626701355,-0.4509353041648865
24,2,497,-1.4081060886383057,-2.4199838638305664,-1.4401328563690186,-0.4157681465148926
