input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,batch_size,lr,weight_decay,const_init,Split,RMSE,MSE,MAE,R2
36,24,25,80,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.632167269,2.663969994,1.195480943,0.941084743
48,24,19,30,FALSE,TRUE,16,0.0003,1.00E-05,TRUE,TEST,1.634127731,2.67037344,1.220784187,0.939745307
48,24,19,30,FALSE,TRUE,16,0.0003,1.00E-06,TRUE,TEST,1.634471726,2.671497822,1.221212626,0.939660013
48,24,19,30,FALSE,TRUE,16,0.0003,0,TRUE,TEST,1.634510162,2.671623468,1.221261978,0.939650416
48,24,25,30,FALSE,TRUE,16,0.0003,1.00E-05,TRUE,TEST,1.635300634,2.674208164,1.204289198,0.939459145
60,24,31,50,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.635957819,2.676357985,1.180645704,0.941006482
60,24,31,50,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.635962191,2.67637229,1.18063581,0.941007137
60,24,31,50,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.636011303,2.676532984,1.18055737,0.941012979
60,24,31,50,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.636920853,2.679509878,1.180571079,0.94102037
48,24,25,30,FALSE,TRUE,16,0.0003,1.00E-06,TRUE,TEST,1.636950128,2.679605722,1.205859423,0.939191818
48,24,25,30,FALSE,TRUE,16,0.0003,0,TRUE,TEST,1.637144484,2.680242062,1.206052661,0.939160407
36,24,31,50,FALSE,TRUE,16,0.0003,0.0001,TRUE,TEST,1.64016412,2.69013834,1.201036215,0.936354756
48,24,19,30,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.640364635,2.690796137,1.20476222,0.940436184
60,24,25,50,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.640433745,2.691022873,1.181200624,0.940758526
48,24,19,30,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.640446172,2.691063643,1.204640627,0.940311909
48,24,19,30,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.640446244,2.691063881,1.204639912,0.940310538
48,24,19,30,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.640484177,2.691188335,1.204673886,0.940322161
48,24,19,30,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.641749914,2.695342779,1.198680878,0.938196957
48,24,19,30,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.642780015,2.698726177,1.199441552,0.938086689
48,24,19,30,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.642890238,2.699088335,1.199513078,0.938078761
48,24,19,30,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.642892488,2.699095726,1.199517727,0.938077927
36,24,25,50,FALSE,TRUE,16,0.0003,0.0001,TRUE,TEST,1.643612349,2.701461554,1.204885721,0.936762989
36,24,31,50,FALSE,TRUE,64,0.001,0.0001,TRUE,TEST,1.644908436,2.705723763,1.213611126,0.931212366
60,24,25,50,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.645031851,2.706129789,1.186882377,0.940065742
36,24,31,50,FALSE,TRUE,16,0.0003,1.00E-05,TRUE,TEST,1.6461342,2.709757805,1.205721021,0.936089337
36,24,31,50,FALSE,TRUE,64,0.001,1.00E-05,TRUE,TEST,1.646174102,2.709889174,1.214694262,0.931042433
60,24,25,50,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.646269326,2.710202694,1.188156009,0.939922869
36,24,31,50,FALSE,TRUE,64,0.001,1.00E-06,TRUE,TEST,1.64632863,2.710397959,1.214805484,0.931030273
36,24,31,50,FALSE,TRUE,64,0.001,0,TRUE,TEST,1.646346081,2.710455418,1.214817286,0.931028962
60,24,25,50,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.646422759,2.710707903,1.188313007,0.939905643
36,24,25,50,FALSE,TRUE,64,0.001,0,TRUE,TEST,1.64679915,2.711947441,1.204908252,0.934500456
36,24,25,50,FALSE,TRUE,64,0.001,1.00E-06,TRUE,TEST,1.646803276,2.711961031,1.204988837,0.934469402
36,24,31,50,FALSE,TRUE,16,0.0003,1.00E-06,TRUE,TEST,1.646868352,2.712175369,1.206281424,0.936052859
36,24,25,50,FALSE,TRUE,64,0.001,1.00E-05,TRUE,TEST,1.646907802,2.712305307,1.205747366,0.934200585
36,24,31,50,FALSE,TRUE,16,0.0003,0,TRUE,TEST,1.646952462,2.712452412,1.206348062,0.936048687
36,24,25,50,FALSE,TRUE,64,0.001,0.0001,TRUE,TEST,1.648310146,2.716926336,1.210207939,0.932525039
48,24,25,50,FALSE,TRUE,16,0.0003,0.0001,FALSE,TEST,1.649049618,2.719364643,1.218948483,0.938709795
60,24,19,50,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.649995836,2.722486258,1.186584711,0.941249073
