input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,Split,RMSE,MSE,MAE,R2
60,12,25,100,False,True,VAL,2.1502917247068534,4.623754501342773,1.5642492771148682,0.8745605945587158
60,12,25,100,False,True,TEST,1.956500135523623,3.827892780303955,1.4145214557647705,0.9117925763130188
60,12,25,100,True,False,VAL,2.864642518327985,8.2061767578125,2.00537109375,0.8374244570732117
60,12,25,100,True,False,TEST,2.01580301134513,4.063461780548096,1.4798167943954468,0.8985791802406311
60,12,25,100,True,True,VAL,2.1667626677543677,4.694860458374023,1.609900712966919,0.8603267073631287
60,12,25,100,True,True,TEST,1.942103914900532,3.7717676162719727,1.4310935735702515,0.9019679427146912
60,12,25,200,False,False,VAL,2.4915995606876904,6.208068370819092,1.8283177614212036,0.8511331081390381
60,12,25,200,False,False,TEST,2.5211986140478997,6.356442451477051,1.8136394023895264,0.8764716386795044
60,12,25,200,False,True,VAL,2.291108346609147,5.2491774559021,1.685652732849121,0.8588894605636597
60,12,25,200,False,True,TEST,2.3385787881625033,5.4689507484436035,1.696092128753662,0.8885236978530884
60,12,25,200,True,False,VAL,2.8704914732877667,8.239721298217773,2.008598566055298,0.8333743810653687
