seed,target_index,lead,truth,model,q05,q50,q95
43,4,1,0.2253907322883606,STDK_plus_QConvLSTM,-0.8077282905578613,0.06133079156279564,0.7236440777778625
43,4,2,0.3261488676071167,STDK,-0.0340634286403656,0.3736925423145294,0.982219934463501
43,4,2,0.3261488676071167,STDK_plus_QLSTM,-0.44090536236763,0.3838970363140106,1.3122752904891968
43,4,2,0.3261488676071167,STDK_plus_QConvLSTM,-0.7112709879875183,0.13661064207553864,0.832614541053772
43,4,3,0.2398546040058136,STDK,-0.04241383075714111,0.3630116879940033,0.9777839183807373
43,4,3,0.2398546040058136,STDK_plus_QLSTM,-0.43059197068214417,0.39125779271125793,1.3489865064620972
43,4,3,0.2398546040058136,STDK_plus_QConvLSTM,-0.6920366287231445,0.2062075436115265,0.9024592638015747
43,4,4,0.03422759473323822,STDK,-0.07475614547729492,0.3328079283237457,0.9588937759399414
43,4,4,0.03422759473323822,STDK_plus_QLSTM,-0.42881056666374207,0.39615753293037415,1.3676267862319946
43,4,4,0.03422759473323822,STDK_plus_QConvLSTM,-0.6445907950401306,0.23871345818042755,0.9502567052841187
43,4,5,0.3639217019081116,STDK,-0.15062102675437927,0.26339778304100037,0.9046273231506348
43,4,5,0.3639217019081116,STDK_plus_QLSTM,-0.43490728735923767,0.39901259541511536,1.3607898950576782
43,4,5,0.3639217019081116,STDK_plus_QConvLSTM,-0.5439227819442749,0.3029317855834961,1.0065964460372925
43,5,1,-0.7688862681388855,STDK,-1.159501552581787,-0.7485374808311462,-0.0008983016014099121
43,5,1,-0.7688862681388855,STDK_plus_QLSTM,-1.3115910291671753,-0.5368979573249817,0.38386040925979614
43,5,1,-0.7688862681388855,STDK_plus_QConvLSTM,-1.4944850206375122,-0.6079770922660828,0.10530924797058105
43,5,2,-0.8929081559181213,STDK,-1.4839752912521362,-1.0796139240264893,-0.3250501751899719
43,5,2,-0.8929081559181213,STDK_plus_QLSTM,-1.3457787036895752,-0.5858529210090637,0.346241295337677
43,5,2,-0.8929081559181213,STDK_plus_QConvLSTM,-1.6593056917190552,-0.773847222328186,0.10129326581954956
43,5,3,-0.6190394163131714,STDK,-1.8140889406204224,-1.4114396572113037,-0.6393914818763733
43,5,3,-0.6190394163131714,STDK_plus_QLSTM,-1.3915295600891113,-0.6299005150794983,0.3027772903442383
43,5,3,-0.6190394163131714,STDK_plus_QConvLSTM,-1.7589704990386963,-0.8177376985549927,-0.030481696128845215
43,5,4,-0.5452433824539185,STDK,-1.9934154748916626,-1.5876878499984741,-0.7766530513763428
43,5,4,-0.5452433824539185,STDK_plus_QLSTM,-1.4454803466796875,-0.6703305840492249,0.25885218381881714
43,5,4,-0.5452433824539185,STDK_plus_QConvLSTM,-1.8106019496917725,-0.8813009262084961,-0.14458900690078735
43,5,5,0.17907769978046417,STDK,-2.087653160095215,-1.6743073463439941,-0.786453366279602
43,5,5,0.17907769978046417,STDK_plus_QLSTM,-1.5086002349853516,-0.713161826133728,0.21207958459854126
43,5,5,0.17907769978046417,STDK_plus_QConvLSTM,-1.7442469596862793,-0.8958017230033875,-0.04796910285949707
43,6,1,-0.02514827251434326,STDK,0.2181934416294098,0.6702494621276855,1.4205288887023926
43,6,1,-0.02514827251434326,STDK_plus_QLSTM,0.07614696025848389,0.833427369594574,1.6480824947357178
43,6,1,-0.02514827251434326,STDK_plus_QConvLSTM,-0.4809921681880951,0.3075076639652252,1.0672763586044312
43,6,2,0.6735158562660217,STDK,0.04413479566574097,0.49549561738967896,1.253320336341858
43,6,2,0.6735158562660217,STDK_plus_QLSTM,0.1506369709968567,0.9091337323188782,1.701817512512207
43,6,2,0.6735158562660217,STDK_plus_QConvLSTM,-0.6474733352661133,0.1915586292743683,0.9103134870529175
43,6,3,0.2509346008300781,STDK,-0.210590660572052,0.24437367916107178,1.017087459564209
43,6,3,0.2509346008300781,STDK_plus_QLSTM,0.23249441385269165,0.9911167025566101,1.7666125297546387
43,6,3,0.2509346008300781,STDK_plus_QConvLSTM,-0.7246369123458862,0.08775880932807922,0.6898541450500488
43,6,4,-0.19113540649414062,STDK,-0.5277029871940613,-0.06478384137153625,0.7325952053070068
43,6,4,-0.19113540649414062,STDK_plus_QLSTM,0.32759666442871094,1.0801048278808594,1.8463521003723145
43,6,4,-0.19113540649414062,STDK_plus_QConvLSTM,-0.7937667369842529,0.08234132081270218,0.7772807478904724
43,6,5,0.9091757535934448,STDK,-0.8101437091827393,-0.3353064954280853,0.4940299689769745
43,6,5,0.9091757535934448,STDK_plus_QLSTM,0.42969435453414917,1.1775789260864258,1.9312400817871094
43,6,5,0.9091757535934448,STDK_plus_QConvLSTM,-0.774976372718811,0.0714537650346756,0.6788608431816101
